15233 58644
0 1 0.037037
2 3 0.0526316
4 5 0.037037
6 7 0.1
8 9 0.01
10 11 0.9
10 12 0.0138889
11 12 0.0138889
13 14 0.0555556
13 15 0.0144928
14 15 0.0144928
16 17 0.142857
18 19 0.0357143
18 20 0.030303
19 20 0.030303
21 22 0.0555556
23 24 0.9
23 25 0.142857
24 25 0.142857
26 27 0.00952381
28 29 0.333333
28 30 0.0416667
29 30 0.0416667
31 32 0.0588235
31 33 0.03125
32 33 0.03125
34 35 0.333333
34 36 0.030303
35 36 0.030303
37 38 0.0714286
37 39 0.0666667
37 40 0.1
38 39 0.0666667
38 40 0.1
39 40 0.1
41 42 0.0333333
43 44 0.0196078
45 46 0.0222222
47 48 0.0285714
49 50 0.0909091
51 52 0.125
51 53 0.166667
51 54 0.0416667
51 55 0.1
52 53 0.166667
52 54 0.0416667
52 55 0.1
53 54 0.0416667
53 55 0.1
54 55 0.1
56 57 0.0625
58 59 0.9
58 60 0.0208333
58 61 0.0333333
59 60 0.0208333
59 61 0.0333333
60 61 0.0333333
62 63 0.0714286
64 65 0.2
66 19 0.0357143
66 20 0.030303
19 20 0.030303
67 68 0.0625
69 70 0.125
71 72 0.181818
73 74 0.0416667
75 76 0.0147059
75 77 0.0116279
76 77 0.0116279
78 79 0.0666667
80 81 0.0909091
82 83 0.0555556
84 85 0.0277778
86 87 0.0769231
86 88 0.0131579
87 88 0.0131579
89 90 0.0666667
89 91 0.142857
90 91 0.142857
47 92 0.027027
86 87 0.0769231
60 93 0.25
60 94 0.0769231
60 95 0.0909091
93 94 0.0769231
93 95 0.0909091
94 95 0.0909091
96 97 0.111111
96 98 0.0357143
97 98 0.0357143
99 100 0.00662252
101 102 0.9
103 104 0.0625
105 106 0.9
107 108 0.0714286
107 109 0.111111
108 109 0.111111
110 111 0.0163934
110 112 0.0357143
111 112 0.0357143
113 114 0.125
115 116 0.166667
117 79 0.0666667
117 118 0.0263158
79 118 0.0263158
51 53 0.166667
92 119 0.142857
92 120 0.027027
119 120 0.027027
121 122 0.0151515
123 124 0.0238095
31 32 0.0588235
31 33 0.03125
32 33 0.03125
75 125 0.166667
75 126 0.5
125 126 0.5
127 128 0.0204082
129 130 0.0454545
131 132 0.9
131 133 0.0138889
131 134 0.0125
132 133 0.0138889
132 134 0.0125
133 134 0.0125
135 136 0.0344828
89 137 0.9
89 138 0.166667
89 139 0.0625
138 139 0.0625
140 141 0.2
140 142 0.030303
140 143 0.015625
141 142 0.030303
141 143 0.015625
142 143 0.015625
144 145 0.0114943
146 147 0.111111
146 77 0.0116279
147 77 0.0116279
58 148 0.9
58 60 0.0208333
58 93 0.25
148 60 0.0208333
148 93 0.25
60 93 0.25
149 150 0.0322581
31 32 0.0588235
31 33 0.03125
32 33 0.03125
151 152 0.03125
151 153 0.0384615
151 154 0.0105263
152 153 0.0384615
152 154 0.0105263
153 154 0.0105263
155 48 0.0285714
156 157 0.0196078
156 158 0.0555556
156 159 0.0175439
157 158 0.0555556
157 159 0.0175439
158 159 0.0175439
147 77 0.0116279
160 85 0.0277778
161 162 0.111111
163 164 0.2
165 166 0.0555556
167 168 0.0212766
169 170 0.0606061
61 171 0.037037
43 172 0.5
43 44 0.0196078
172 44 0.0196078
157 136 0.0344828
173 174 0.0232558
3 12 0.0138889
175 97 0.111111
176 177 0.0625
178 179 0.5
178 180 0.111111
179 180 0.111111
181 182 0.9
181 183 0.5
182 183 0.5
0 1 0.037037
0 184 0.166667
1 184 0.166667
185 186 0.0277778
42 187 0.142857
188 189 0.142857
190 191 0.5
192 193 0.125
192 194 0.05
192 195 0.0238095
193 194 0.05
193 195 0.0238095
194 195 0.0238095
196 197 0.111111
198 199 0.0833333
200 131 0.00411523
200 46 0.0222222
200 201 0.0208333
131 46 0.0222222
131 201 0.0208333
46 201 0.0208333
164 202 0.9
21 22 0.0555556
192 203 0.166667
204 205 0.05
206 100 0.00662252
207 208 0.333333
207 209 0.047619
207 210 0.0163934
208 209 0.047619
208 210 0.0163934
209 210 0.0163934
211 212 0.9
211 213 0.125
211 214 0.0142857
212 213 0.125
212 214 0.0142857
213 214 0.0142857
140 141 0.2
140 142 0.030303
140 143 0.015625
141 142 0.030303
141 143 0.015625
142 143 0.015625
215 216 0.142857
51 217 0.9
51 218 0.0588235
217 218 0.0588235
219 220 0.0833333
113 114 0.125
75 76 0.0147059
75 77 0.0116279
76 77 0.0116279
158 159 0.0175439
158 221 0.0116279
159 221 0.0116279
15 130 0.0454545
15 222 0.0294118
130 222 0.0294118
223 224 0.1
225 226 0.0384615
225 227 0.0192308
225 145 0.0114943
225 186 0.0277778
226 227 0.0192308
226 145 0.0114943
226 186 0.0277778
227 145 0.0114943
227 186 0.0277778
145 186 0.0277778
228 95 0.0909091
228 229 0.5
95 229 0.5
173 174 0.0232558
230 231 0.0322581
230 232 0.05
231 232 0.05
233 92 0.027027
48 234 0.030303
48 88 0.0131579
234 88 0.0131579
41 42 0.0333333
215 235 0.0833333
